Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.23,0.619,0.15,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. ? Here's what critics are saying about #TheGoodF…",7,CBS
0.0,Wed Mar 07 17:06:02 +0000 2018,0.0,1.0,0.0,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",8,CBS
0.6705,Tue Mar 06 18:10:59 +0000 2018,0.0,0.756,0.244,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",9,CBS
0.3818,Mon Mar 05 22:16:43 +0000 2018,0.0,0.833,0.167,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",10,CBS
0.4404,Sun Mar 04 08:05:26 +0000 2018,0.0,0.884,0.116,"RT @thegoodfight: It feels good to be back. ??? The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",11,CBS
0.0,Sat Mar 03 20:55:20 +0000 2018,0.0,1.0,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",12,CBS
0.7096,Fri Mar 02 22:30:01 +0000 2018,0.0,0.753,0.247,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",13,CBS
0.7096,Fri Mar 02 20:30:01 +0000 2018,0.0,0.718,0.282,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",14,CBS
0.4939,Fri Mar 02 18:45:00 +0000 2018,0.0,0.849,0.151,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",15,CBS
-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.21,0.79,0.0,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,16,CBS
0.4547,Thu Mar 01 18:12:57 +0000 2018,0.092,0.749,0.159,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",17,CBS
0.8591,Thu Mar 01 18:11:50 +0000 2018,0.0,0.462,0.538,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,18,CBS
0.4885,Thu Mar 01 18:10:50 +0000 2018,0.151,0.615,0.234,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,19,CBS
0.5994,Thu Mar 01 14:36:21 +0000 2018,0.0,0.822,0.178,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",20,CBS
0.7717,Thu Mar 01 14:29:20 +0000 2018,0.0,0.675,0.325,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",21,CBS
0.6908,Thu Mar 01 14:15:29 +0000 2018,0.0,0.725,0.275,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",22,CBS
0.0,Thu Mar 01 13:50:11 +0000 2018,0.0,1.0,0.0,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",23,CBS
0.0,Thu Mar 01 01:04:52 +0000 2018,0.0,1.0,0.0,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,24,CBS
0.0,Wed Feb 28 19:56:58 +0000 2018,0.0,1.0,0.0,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",25,CBS
0.4404,Wed Feb 28 19:08:30 +0000 2018,0.0,0.884,0.116,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",26,CBS
0.5562,Tue Feb 27 03:23:47 +0000 2018,0.0,0.848,0.152,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…,27,CBS
0.0,Mon Feb 26 22:50:32 +0000 2018,0.0,1.0,0.0,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…",28,CBS
0.0,Mon Feb 26 21:08:30 +0000 2018,0.0,1.0,0.0,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…",29,CBS
0.4482,Mon Feb 26 19:53:41 +0000 2018,0.0,0.895,0.105,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! ? You can be…",30,CBS
0.784,Mon Feb 26 18:32:36 +0000 2018,0.0,0.734,0.266,RT @SuperiorDonuts: You can always count on @DavidKoechner for a laugh! Did your favorite Tush moment make the list? Catch a new #SuperiorD…,31,CBS
0.9359,Mon Feb 26 18:20:16 +0000 2018,0.0,0.571,0.429,RT @TheTalkCBS: TODAY: We loved them together then &amp; we love seeing them together now! Welcome back to the show @THESaraGilbert?'s good fri…,32,CBS
-0.5423,Mon Feb 26 16:53:56 +0000 2018,0.184,0.816,0.0,"RT @thegoodfight: As foundations begin to crumble, our characters struggle to make sense of this new dystopian world. The cast teases what'…",33,CBS
